map,scen,agents,seed,variant,solved,soc,makespan,lb,time_ms,forward_calls,rebuilds
random32-20,random-32-32-20-random-3,200,0,tb_step_w10,True,7738,122,4300,1592.8,66000,330
random32-20,random-32-32-20-random-3,150,2,tb_agent_w10,True,4470,77,3203,2456.0,73665,181
random32-20,random-32-32-20-random-3,200,0,tb_step_wall,True,7604,109,4300,2118.6,76200,381
random32-20,random-32-32-20-random-3,200,1,vanilla,True,11395,263,4300,1812.6,0,0
random32-20,random-32-32-20-random-3,200,2,vanilla,True,9613,181,4300,435.7,0,0
random32-20,random-32-32-20-random-3,200,1,pen0.1_step_w10,True,8006,133,4300,1773.4,53200,266
random32-20,random-32-32-20-random-3,200,1,tb_step_w10,True,7604,125,4300,2812.4,77800,389
random32-20,random-32-32-20-random-3,200,1,tb_agent_w10,True,7998,155,4300,2711.5,166672,319
random32-20,random-32-32-20-random-4,50,0,vanilla,True,1201,48,1035,19.4,0,0
random32-20,random-32-32-20-random-3,200,2,tb_step_w10,True,6900,91,4300,1191.3,31800,159
random32-20,random-32-32-20-random-4,50,0,tb_step_w10,True,1107,46,1035,187.1,2300,46
random32-20,random-32-32-20-random-4,50,0,tb_start_w10,True,1253,54,1035,70.1,50,1
random32-20,random-32-32-20-random-3,200,0,tb_start_w10,True,12492,309,4300,3787.4,200,1
random32-20,random-32-32-20-random-4,50,0,tb_agent_w10,True,1103,46,1035,322.7,4600,46
random32-20,random-32-32-20-random-4,50,1,vanilla,True,1204,48,1035,20.4,0,0
random32-20,random-32-32-20-random-4,50,0,pen0.1_step_w10,True,1116,46,1035,195.3,2300,46
random32-20,random-32-32-20-random-4,50,0,tb_step_wall,True,1104,46,1035,279.6,2300,46
random32-20,random-32-32-20-random-3,200,0,pen0.1_step_w10,True,7624,115,4300,3710.1,90200,451
random32-20,random-32-32-20-random-4,50,1,tb_start_w10,True,1144,48,1035,65.7,50,1
random32-20,random-32-32-20-random-4,50,1,tb_step_w10,True,1105,46,1035,193.7,2300,46
random32-20,random-32-32-20-random-4,50,2,vanilla,True,1180,46,1035,19.8,0,0
random32-20,random-32-32-20-random-4,50,1,tb_agent_w10,True,1111,46,1035,313.1,4600,46
random32-20,random-32-32-20-random-4,50,1,pen0.1_step_w10,True,1105,46,1035,193.5,2300,46
random32-20,random-32-32-20-random-4,50,2,tb_start_w10,True,1239,51,1035,66.0,50,1
random32-20,random-32-32-20-random-4,50,2,tb_step_w10,True,1103,46,1035,191.5,2300,46
random32-20,random-32-32-20-random-3,200,0,tb_agent_w10,True,6934,93,4300,4512.4,200190,370
random32-20,random-32-32-20-random-4,50,1,tb_step_wall,True,1108,46,1035,467.0,2300,46
random32-20,random-32-32-20-random-4,50,2,pen0.1_step_w10,True,1103,46,1035,197.2,2300,46
random32-20,random-32-32-20-random-4,50,2,tb_agent_w10,True,1105,46,1035,315.8,4600,46
random32-20,random-32-32-20-random-4,50,2,tb_step_wall,True,1100,46,1035,283.9,2300,46
random32-20,random-32-32-20-random-4,100,0,vanilla,True,2597,54,2094,83.8,0,0
random32-20,random-32-32-20-random-4,100,0,tb_start_w10,True,2734,57,2094,135.7,100,1
random32-20,random-32-32-20-random-4,100,1,vanilla,True,2805,57,2094,44.2,0,0
random32-20,random-32-32-20-random-3,200,2,tb_step_wall,True,6950,94,4300,1784.5,46000,230
random32-20,random-32-32-20-random-4,100,0,tb_step_w10,True,2508,54,2094,666.3,5400,54
random32-20,random-32-32-20-random-4,100,1,tb_step_w10,True,2497,54,2094,409.2,5400,54
random32-20,random-32-32-20-random-4,100,0,tb_step_wall,True,2495,54,2094,604.0,5400,54
random32-20,random-32-32-20-random-4,100,0,tb_agent_w10,True,2439,54,2094,694.3,10804,54
random32-20,random-32-32-20-random-4,100,2,vanilla,True,2799,63,2094,53.7,0,0
random32-20,random-32-32-20-random-4,100,0,pen0.1_step_w10,True,2508,54,2094,697.2,5400,54
random32-20,random-32-32-20-random-4,100,1,tb_start_w10,True,2713,55,2094,226.7,100,1
random32-20,random-32-32-20-random-1,200,2,tb_start_w10,False,-1,-1,4429,20000.8,200,1
random32-20,random-32-32-20-random-4,100,1,pen0.1_step_w10,True,2507,54,2094,420.1,5400,54
random32-20,random-32-32-20-random-4,100,2,tb_step_w10,True,2495,54,2094,401.0,5400,54
random32-20,random-32-32-20-random-4,100,2,tb_start_w10,True,2743,58,2094,245.7,100,1
random32-20,random-32-32-20-random-4,100,1,tb_agent_w10,True,2431,54,2094,678.5,10804,54
random32-20,random-32-32-20-random-4,100,1,tb_step_wall,True,2478,54,2094,598.1,5400,54
random32-20,random-32-32-20-random-4,100,2,pen0.1_step_w10,True,2499,54,2094,430.9,5400,54
random32-20,random-32-32-20-random-4,150,0,tb_start_w10,True,4922,88,3273,272.0,150,1
random32-20,random-32-32-20-random-3,200,2,tb_agent_w10,True,7742,137,4300,3855.5,107368,211
random32-20,random-32-32-20-random-4,100,2,tb_agent_w10,True,2428,54,2094,1102.1,10804,54
random32-20,random-32-32-20-random-4,100,2,tb_step_wall,True,2524,54,2094,989.1,5400,54
random32-20,random-32-32-20-random-4,150,0,pen0.1_step_w10,True,4186,54,3273,681.4,8100,54
random32-20,random-32-32-20-random-3,200,2,pen0.1_step_w10,True,7107,103,4300,3639.2,86200,431
random32-20,random-32-32-20-random-4,150,0,tb_step_w10,True,4557,95,3273,1235.9,14550,97
random32-20,random-32-32-20-random-4,150,0,tb_agent_w10,True,4381,71,3273,1234.8,21768,72
random32-20,random-32-32-20-random-4,150,0,tb_step_wall,True,4263,55,3273,973.1,8250,55
random32-20,random-32-32-20-random-4,150,2,vanilla,True,4724,62,3273,70.3,0,0
random32-20,random-32-32-20-random-4,150,1,tb_start_w10,True,5044,97,3273,421.3,150,1
random32-20,random-32-32-20-random-4,150,1,tb_step_w10,True,4443,79,3273,1182.9,11850,79
random32-20,random-32-32-20-random-4,150,2,tb_start_w10,True,5224,112,3273,438.0,150,1
random32-20,random-32-32-20-random-4,150,2,tb_step_w10,True,4473,76,3273,733.5,11550,77
random32-20,random-32-32-20-random-4,200,0,vanilla,True,7343,87,4353,108.1,0,0
random32-20,random-32-32-20-random-4,150,1,pen0.1_step_w10,True,4188,54,3273,1122.3,8100,54
random32-20,random-32-32-20-random-4,150,2,tb_agent_w10,True,4230,54,3273,1156.9,16217,54
random32-20,random-32-32-20-random-4,150,2,pen0.1_step_w10,True,4275,54,3273,706.4,8100,54
random32-20,random-32-32-20-random-4,150,1,tb_agent_w10,True,4209,54,3273,1843.9,16218,54
